2025-07-11 03:02:47.986 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.s.DirectSolrSpellChecker init: {name=und, field=spellcheck_und, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, accuracy=0.5, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4, maxQueryFrequency=0.01, thresholdTokenFrequency=.01, onlyMorePopular=true}
2025-07-11 03:02:47.987 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.h.c.SuggestComponent Initializing SuggestComponent
2025-07-11 03:02:47.990 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.s.s.SolrSuggester init: {name=en, indexPath=./en, lookupImpl=AnalyzingInfixLookupFactory, dictionaryImpl=DocumentDictionaryFactory, field=twm_suggest, suggestAnalyzerFieldType=text_en, contextField=sm_context_tags, buildOnCommit=false, buildOnStartup=false}
2025-07-11 03:02:48.001 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.s.s.SolrSuggester Dictionary loaded with params: {name=en, indexPath=./en, lookupImpl=AnalyzingInfixLookupFactory, dictionaryImpl=DocumentDictionaryFactory, field=twm_suggest, suggestAnalyzerFieldType=text_en, contextField=sm_context_tags, buildOnCommit=false, buildOnStartup=false}
2025-07-11 03:02:48.001 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.s.s.SolrSuggester init: {name=und, indexPath=./und, lookupImpl=AnalyzingInfixLookupFactory, dictionaryImpl=DocumentDictionaryFactory, field=twm_suggest, suggestAnalyzerFieldType=text_und, contextField=sm_context_tags, buildOnCommit=false, buildOnStartup=false}
2025-07-11 03:02:48.002 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.s.s.SolrSuggester Dictionary loaded with params: {name=und, indexPath=./und, lookupImpl=AnalyzingInfixLookupFactory, dictionaryImpl=DocumentDictionaryFactory, field=twm_suggest, suggestAnalyzerFieldType=text_und, contextField=sm_context_tags, buildOnCommit=false, buildOnStartup=false}
2025-07-11 03:02:48.013 INFO  (coreLoadExecutor-13-thread-1) [c: s: r: x:drupal t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-07-11 03:02:48.060 INFO  (searcherExecutor-15-thread-1-processing-drupal) [c: s: r: x:drupal t:] o.a.s.c.S.Request webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=43
2025-07-11 03:02:48.062 INFO  (searcherExecutor-15-thread-1-processing-drupal) [c: s: r: x:drupal t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2025-07-11 03:02:48.062 INFO  (searcherExecutor-15-thread-1-processing-drupal) [c: s: r: x:drupal t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: en
2025-07-11 03:02:48.062 INFO  (searcherExecutor-15-thread-1-processing-drupal) [c: s: r: x:drupal t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: und
2025-07-11 03:02:48.070 INFO  (searcherExecutor-15-thread-1-processing-drupal) [c: s: r: x:drupal t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
